product_barcode,product_label,product_size,brand_name,manufacturer_country,manufacturer_name,scan_country,data_url,bottle_weight,bottle_count
6009616049322,Yogi Sip,1kg,Danone,FR,Danone S.A.,ZA,https://wastebase.org/#/o/833c3669-9353-4c41-9948-a1d8cfeec1b6,,1
6009617221628,Double Cream Plain Yoghurt,1000 g,Lancewood,ZA,Libstar Holdings Ltd,MZ,https://wastebase.org/#/o/e6843b83-8b05-4c90-8ca2-a71689aa7e12,,1
6009619870046,Orange Drink,2.0 L,Quencher,KE,Excel Chemicals Limited,KE,https://wastebase.org/#/o/57800e41-056c-4975-bb11-e35ac977d883,,13
6009622620003,Mineral Water,1.5 L,Rwenzori,US,Coca-Cola,FR,https://wastebase.org/#/o/c3710738-2999-4396-a284-6b70bf737fe6,,2
6009622620003,Mineral Water,1.5 L,Rwenzori,US,Coca-Cola,UG,https://wastebase.org/#/o/c3710738-2999-4396-a284-6b70bf737fe6,,231
6009622620027,Mineral water,500 ml,Rwenzori,US,Coca-Cola,UG,https://wastebase.org/#/o/c3710738-2999-4396-a284-6b70bf737fe6,,592
6009622620041,PureNatural Mineral Water,5.0 L,Rwenzori,US,Coca-Cola,RW,https://wastebase.org/#/o/c3710738-2999-4396-a284-6b70bf737fe6,,1
6009622620041,PureNatural Mineral Water,5.0 L,Rwenzori,US,Coca-Cola,UG,https://wastebase.org/#/o/c3710738-2999-4396-a284-6b70bf737fe6,,2
6009622620096,Mineral Water,18 L,Rwenzori,US,Coca-Cola,UG,https://wastebase.org/#/o/c3710738-2999-4396-a284-6b70bf737fe6,,1
60096226262003,Mineral Water,1.5 L,Rwenzori,US,Coca-Cola,UG,https://wastebase.org/#/o/c3710738-2999-4396-a284-6b70bf737fe6,,1
6009627080246,Sparkling Mineral Water,1.0 L,Keringet,US,Coca-Cola,KE,https://wastebase.org/#/o/c3710738-2999-4396-a284-6b70bf737fe6,,8
6009627320243,Maziwa Lala,500 g,Ilara,KE,Brookside Dairy Limited,KE,https://wastebase.org/#/o/627f92f4-bc21-413d-b310-5fe077b466c6,,130
6009627320243,Maziwa Lala,500 g,Ilara,KE,Brookside Dairy Limited,RW,https://wastebase.org/#/o/627f92f4-bc21-413d-b310-5fe077b466c6,,1
6009633160055,Água Montemor,500 ml,Montemor,MZ,Montemor SARL,MZ,https://wastebase.org/#/o/7e3e82c9-dcc1-4eb6-8ff6-be01c2481dc4,,388
6009633160154,Agua Mineral,1.5 L,Montemor,MZ,Montemor SARL,MZ,https://wastebase.org/#/o/7e3e82c9-dcc1-4eb6-8ff6-be01c2481dc4,20.000,548
6009633160505,Água Mineral da Nascente,5.0 L,Montemor,MZ,Montemor SARL,MZ,https://wastebase.org/#/o/7e3e82c9-dcc1-4eb6-8ff6-be01c2481dc4,,58
6009644540372,tiger glucose biscuits,38 g,Azam,TZ,BAKHRESA GROUP DIVISIONS,TZ,https://wastebase.org/#/o/0c76efb4-4008-4677-aba1-e10a6e3ef026,,8
6009644540433,Azamto flavoured ice,70ml,Azam,TZ,BAKHRESA GROUP DIVISIONS,TZ,https://wastebase.org/#/o/0c76efb4-4008-4677-aba1-e10a6e3ef026,,1
6009644540440,fruity mango lolly,70 ml,Azam,TZ,BAKHRESA GROUP DIVISIONS,TZ,https://wastebase.org/#/o/0c76efb4-4008-4677-aba1-e10a6e3ef026,,3
6009644540655,Super Balllcone Vanilla Flavoured Ice Cream,120 ml,Azam,TZ,BAKHRESA GROUP DIVISIONS,TZ,https://wastebase.org/#/o/0c76efb4-4008-4677-aba1-e10a6e3ef026,,25
6009644540679,cool bar 50-50,80 ml,Azam,TZ,BAKHRESA GROUP DIVISIONS,TZ,https://wastebase.org/#/o/0c76efb4-4008-4677-aba1-e10a6e3ef026,,30
6009644540808,Kreema Toffee Milk Bar,70 ml,Azam,TZ,BAKHRESA GROUP DIVISIONS,TZ,https://wastebase.org/#/o/0c76efb4-4008-4677-aba1-e10a6e3ef026,,456
6009644541133,Ice cream,100 ml,Azam,TZ,BAKHRESA GROUP DIVISIONS,TZ,https://wastebase.org/#/o/0c76efb4-4008-4677-aba1-e10a6e3ef026,,3
6009644541133,Ice cream,100 ml,Azam,TZ,BAKHRESA GROUP DIVISIONS,UG,https://wastebase.org/#/o/0c76efb4-4008-4677-aba1-e10a6e3ef026,,2
